[DEBUG] 2018-02-17 17:46:20.332 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@67eaee9f
[DEBUG] 2018-02-17 17:46:20.332 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@67eaee9f
[DEBUG] 2018-02-17 17:46:20.333 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@67eaee9f
[DEBUG] 2018-02-17 17:46:20.334 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@67eaee9f
[DEBUG] 2018-02-17 17:46:20.334 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@67eaee9f
[DEBUG] 2018-02-17 17:46:20.335 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@67eaee9f
[DEBUG] 2018-02-17 17:46:20.338 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@4636f650
[DEBUG] 2018-02-17 17:46:20.339 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@4636f650
[DEBUG] 2018-02-17 17:46:20.343 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@87cdf5c
[DEBUG] 2018-02-17 17:46:20.343 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@87cdf5c
[DEBUG] 2018-02-17 17:46:20.343 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@87cdf5c
[DEBUG] 2018-02-17 17:46:20.344 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@87cdf5c
[DEBUG] 2018-02-17 17:46:20.344 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@87cdf5c
[DEBUG] 2018-02-17 17:46:20.344 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@87cdf5c
[DEBUG] 2018-02-17 17:46:20.345 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@1def939c
[DEBUG] 2018-02-17 17:46:20.345 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@1def939c
[DEBUG] 2018-02-17 17:46:20.347 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@286caa9f
[DEBUG] 2018-02-17 17:46:20.347 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@286caa9f
[DEBUG] 2018-02-17 17:46:20.347 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@286caa9f
[DEBUG] 2018-02-17 17:46:20.347 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@286caa9f
[DEBUG] 2018-02-17 17:46:20.348 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@1527ad9b
[DEBUG] 2018-02-17 17:46:20.348 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@1527ad9b
[DEBUG] 2018-02-17 17:46:20.348 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@1527ad9b
[DEBUG] 2018-02-17 17:46:20.348 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@1527ad9b
[DEBUG] 2018-02-17 17:46:20.351 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@3d2eaf61
[DEBUG] 2018-02-17 17:46:20.351 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@3d2eaf61
[DEBUG] 2018-02-17 17:46:20.351 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@3d2eaf61
[DEBUG] 2018-02-17 17:46:20.351 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@3d2eaf61
[DEBUG] 2018-02-17 17:46:20.353 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@5bc4cd93
[DEBUG] 2018-02-17 17:46:20.353 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@5bc4cd93
[DEBUG] 2018-02-17 17:46:20.353 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@5bc4cd93
[DEBUG] 2018-02-17 17:46:20.353 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@5bc4cd93
[DEBUG] 2018-02-17 17:46:20.356 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@71143e6d
[DEBUG] 2018-02-17 17:46:20.356 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@71143e6d
[DEBUG] 2018-02-17 17:46:20.356 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@71143e6d
[DEBUG] 2018-02-17 17:46:20.356 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@71143e6d
[DEBUG] 2018-02-17 17:46:20.356 [http-nio-8080-exec-1] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@5d25ff61
[DEBUG] 2018-02-17 17:46:20.356 [http-nio-8080-exec-10] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@5d25ff61
